# reader VanillaRA VanillaOPT OSonly CrossInfo CII
1 107374182400 107374182400 0 1732348215296 165406572544
4 107374182400 107374182400 0 2158808268800 222080008192
8 107374182400 107374182400 0 2378975674368 163812737024
16 107374182400 107374182400 0 1973587804160 126164664320
