# reader VanillaRA VanillaOPT OSonly CrossInfo CII
1 107374182400 107374182400 0 1718020472832 107424514048
4 107374182400 107374182400 0 1715789103104 108431147008
8 107374182400 107374182400 0 643439788032 110863843328
16 107374182400 107374182400 0 217113952256 32480690176
32 107374182400 107374182400 0 832317685760 110712848384
